issue_utc,lead_min,method,mae
2026-08-21 06:00:00,30,M0,15.327958106994627
2026-08-21 06:00:00,30,M4,12.559860229492188
2026-08-21 06:00:00,60,M0,19.883634567260746
2026-08-21 06:00:00,60,M4,16.4257869720459
2026-08-21 06:00:00,90,M0,23.389278411865234
2026-08-21 06:00:00,90,M4,19.188861846923828
2026-08-21 06:00:00,120,M0,26.317237854003903
2026-08-21 06:00:00,120,M4,21.40938186645508
2026-08-21 06:00:00,150,M0,28.43905639648437
2026-08-21 06:00:00,150,M4,23.279762268066406
2026-08-21 06:00:00,180,M0,29.83614730834961
2026-08-21 06:00:00,180,M4,24.78225517272949
2026-08-21 06:00:00,210,M0,31.48603057861328
2026-08-21 06:00:00,210,M4,26.28742218017578
2026-08-21 06:00:00,240,M0,32.78742599487305
2026-08-21 06:00:00,240,M4,27.431716918945312
2026-08-21 06:00:00,270,M0,33.610198974609375
2026-08-21 06:00:00,270,M4,28.68229866027832
2026-08-21 06:00:00,300,M0,35.28849029541016
2026-08-21 06:00:00,300,M4,30.061214447021484
2026-08-21 06:00:00,330,M0,35.54923248291016
2026-08-21 06:00:00,330,M4,29.55725860595703
2026-08-21 06:00:00,360,M0,36.14436721801758
2026-08-21 06:00:00,360,M4,29.63980484008789
2026-08-25 04:10:00,30,M4,11.89721393585205
2026-08-25 04:10:00,60,M4,14.440179824829102
2026-08-25 04:10:00,90,M4,16.025442123413086
2026-08-25 04:10:00,120,M4,17.906444549560547
2026-08-25 04:10:00,150,M4,19.872045516967773
2026-08-25 04:10:00,180,M4,20.950199127197266
2026-08-25 04:20:00,30,M4,11.981447219848633
2026-08-25 04:20:00,60,M4,14.336960792541504
2026-08-25 04:20:00,90,M4,15.972894668579102
2026-08-25 04:20:00,120,M4,17.86379051208496
2026-08-25 04:20:00,150,M4,19.691648483276367
2026-08-25 04:20:00,180,M4,20.95960998535156
2026-08-25 04:40:00,30,M0,15.305793762207031
2026-08-25 04:40:00,30,M4,11.67978286743164
2026-08-25 04:40:00,60,M0,18.651376724243164
2026-08-25 04:40:00,60,M4,13.966156005859377
2026-08-25 04:40:00,90,M0,20.62602424621582
2026-08-25 04:40:00,90,M4,15.61303997039795
2026-08-25 04:40:00,120,M0,21.983125686645508
2026-08-25 04:40:00,120,M4,17.408777236938477
2026-08-25 04:40:00,150,M0,23.46252822875977
2026-08-25 04:40:00,150,M4,19.226184844970703
2026-08-25 04:40:00,180,M0,24.681501388549805
2026-08-25 04:40:00,180,M4,20.84276962280273
2026-08-25 04:50:00,30,M0,15.218432426452637
2026-08-25 04:50:00,30,M4,11.704177856445312
2026-08-25 04:50:00,60,M0,18.559383392333984
2026-08-25 04:50:00,60,M4,14.110018730163574
2026-08-25 04:50:00,90,M0,20.515735626220703
2026-08-25 04:50:00,90,M4,15.61506175994873
2026-08-25 04:50:00,120,M0,22.036909103393555
2026-08-25 04:50:00,120,M4,17.227005004882812
2026-08-25 04:50:00,150,M0,23.484792709350582
2026-08-25 04:50:00,150,M4,19.026233673095703
2026-08-25 04:50:00,180,M0,24.45802879333496
2026-08-25 04:50:00,180,M4,20.51564216613769
2026-08-25 10:50:00,30,M4,8.57021713256836
2026-08-25 10:50:00,60,M4,10.047351837158203
2026-08-25 10:50:00,90,M4,11.219263076782228
2026-08-25 10:50:00,120,M4,12.116708755493164
2026-08-25 10:50:00,150,M4,13.272698402404783
2026-08-25 10:50:00,180,M4,14.093027114868164
2026-08-25 11:40:00,30,M4,7.774417400360107
2026-08-25 11:40:00,60,M4,9.044366836547852
2026-08-25 11:40:00,90,M4,10.101724624633787
2026-08-25 11:40:00,120,M4,11.253910064697266
2026-08-25 11:40:00,150,M4,12.776540756225586
2026-08-25 11:40:00,180,M4,13.525856018066406
2026-08-25 13:20:00,30,M4,7.1557135581970215
2026-08-25 13:20:00,60,M4,8.537626266479492
2026-08-25 13:20:00,90,M4,9.780999183654783
2026-08-25 13:20:00,120,M4,10.822221755981444
