model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2
GFS,2026-09-01 00:00:00,2026-09-01 09:00,0,강릉,0,22.3,100.0,18.0,100.0,100.0,
GFS,2026-09-01 00:00:00,2026-09-01 12:00,3,강릉,0,22.6,100.0,53.0,100.0,100.0,43.0
GFS,2026-09-01 00:00:00,2026-09-01 15:00,6,강릉,0,23.0,100.0,13.0,100.0,77.0,60.0
GFS,2026-09-01 00:00:00,2026-09-01 18:00,9,강릉,0,22.9,100.0,26.0,100.0,100.0,41.0
GFS,2026-09-01 00:00:00,2026-09-01 21:00,12,강릉,0,22.7,100.0,7.0,97.0,100.0,22.0
GFS,2026-09-01 00:00:00,2026-09-02 00:00,15,강릉,0,22.5,100.0,41.0,100.0,93.0,0.0
GFS,2026-09-01 00:00:00,2026-09-02 03:00,18,강릉,0,22.5,100.0,20.0,100.0,100.0,0.0
GFS,2026-09-01 00:00:00,2026-09-02 06:00,21,강릉,0,22.4,100.0,36.0,100.0,100.0,0.0
GFS,2026-09-01 00:00:00,2026-09-02 09:00,24,강릉,0,23.1,100.0,42.0,100.0,91.0,48.0
GFS,2026-09-01 00:00:00,2026-09-02 12:00,27,강릉,0,23.9,100.0,28.0,100.0,100.0,359.0
GFS,2026-09-01 00:00:00,2026-09-02 15:00,30,강릉,0,23.7,100.0,74.0,100.0,97.0,381.0
GFS,2026-09-01 00:00:00,2026-09-02 18:00,33,강릉,0,23.0,100.0,96.0,100.0,89.0,106.0
GFS,2026-09-01 00:00:00,2026-09-02 21:00,36,강릉,0,22.7,100.0,74.0,100.0,14.0,54.0
GFS,2026-09-01 00:00:00,2026-09-03 00:00,39,강릉,0,22.9,77.0,73.0,73.0,75.0,0.0
GFS,2026-09-01 00:00:00,2026-09-03 03:00,42,강릉,0,22.5,92.0,92.0,0.0,0.0,0.0
GFS,2026-09-01 00:00:00,2026-09-03 06:00,45,강릉,0,22.4,61.0,61.0,0.0,1.0,0.0
GFS,2026-09-01 00:00:00,2026-09-03 09:00,48,강릉,0,22.6,80.0,80.0,0.0,2.0,80.0
GFS,2026-09-01 00:00:00,2026-09-03 12:00,51,강릉,0,23.3,28.0,28.0,0.0,3.0,581.0
GFS,2026-09-01 00:00:00,2026-09-03 15:00,54,강릉,0,23.3,26.0,26.0,0.0,0.0,665.0
GFS,2026-09-01 00:00:00,2026-09-03 18:00,57,강릉,0,22.2,49.0,49.0,0.0,5.0,331.0
GFS,2026-09-01 00:00:00,2026-09-03 21:00,60,강릉,0,22.3,84.0,84.0,0.0,0.0,169.0
GFS,2026-09-01 00:00:00,2026-09-04 00:00,63,강릉,0,21.9,100.0,100.0,0.0,0.0,0.0
GFS,2026-09-01 00:00:00,2026-09-04 03:00,66,강릉,0,22.0,40.0,40.0,0.0,0.0,0.0
GFS,2026-09-01 00:00:00,2026-09-04 06:00,69,강릉,0,21.9,100.0,100.0,0.0,0.0,0.0
GFS,2026-09-01 00:00:00,2026-09-04 09:00,72,강릉,0,22.1,37.0,37.0,0.0,0.0,49.0
GFS,2026-09-01 00:00:00,2026-09-04 12:00,75,강릉,0,23.1,23.0,23.0,0.0,0.0,667.0
GFS,2026-09-01 00:00:00,2026-09-04 15:00,78,강릉,0,23.0,42.0,42.0,0.0,0.0,696.0
GFS,2026-09-01 00:00:00,2026-09-04 18:00,81,강릉,0,22.3,52.0,52.0,0.0,0.0,312.0
GFS,2026-09-01 00:00:00,2026-09-04 21:00,84,강릉,0,21.5,68.0,68.0,0.0,0.0,159.0
GFS,2026-09-01 00:00:00,2026-09-05 00:00,87,강릉,0,21.3,94.0,94.0,0.0,0.0,0.0
GFS,2026-09-01 00:00:00,2026-09-05 03:00,90,강릉,0,21.6,100.0,100.0,0.0,13.0,0.0
GFS,2026-09-01 00:00:00,2026-09-05 06:00,93,강릉,0,21.0,96.0,96.0,0.0,5.0,0.0
GFS,2026-09-01 00:00:00,2026-09-05 09:00,96,강릉,0,21.7,91.0,91.0,0.0,5.0,41.0
GFS,2026-09-01 00:00:00,2026-09-05 12:00,99,강릉,0,22.7,100.0,18.0,14.0,100.0,543.0
GFS,2026-09-01 00:00:00,2026-09-05 15:00,102,강릉,0,22.9,100.0,14.0,92.0,100.0,609.0
GFS,2026-09-01 00:00:00,2026-09-05 18:00,105,강릉,0,22.0,99.0,64.0,99.0,80.0,288.0
GFS,2026-09-01 00:00:00,2026-09-05 21:00,108,강릉,0,21.2,11.0,8.0,5.0,1.0,147.0
GFS,2026-09-01 00:00:00,2026-09-06 00:00,111,강릉,0,21.1,94.0,20.0,91.0,0.0,0.0
GFS,2026-09-01 00:00:00,2026-09-06 03:00,114,강릉,0,21.0,78.0,78.0,7.0,11.0,0.0
GFS,2026-09-01 00:00:00,2026-09-06 06:00,117,강릉,0,21.0,30.0,30.0,2.0,1.0,0.0
GFS,2026-09-01 00:00:00,2026-09-06 09:00,120,강릉,0,21.8,95.0,77.0,32.0,92.0,59.0
GFS,2026-09-01 00:00:00,2026-09-01 09:00,0,광주,1,26.4,28.0,4.0,0.0,28.0,
